Auburn University (RCRA),,1217,,,
ANAD On-Site Engineering Support,,12504,,,
ANAD Permitting (RCRA),,12504,,,
Continental Motors Inc.-Teledyne (AHSCF),,12050,,,
Maxwell AFB IR (DSMOA - Air Force),,12482,,,
Maxwell AFB MMRP (DSMOA - Air Force),,12482,,,
Gunter AFB (DSMOA - Air Force),,12481,,,
Capital City Plume (CERCLA - AHSCF),,44890,,,
Perdido GW Investigation (SACA - NPL),,28830,,,
Redstone Arsenal IR (DSMOA - Army),,12514,,,
Redstone Arsenal MMRP (DSMOA - Army),,12514,,,
Redstone Arsenal IR (DSMOA - Army),,12514,,,
Redstone Arsenal MMRP (DSMOA - Army),,12514,,,
Fort McClellan - BRAC 95 IR (DSMOA - Army),,12506,,,
Fort McClellan - BRAC 95 MMRP (DSMOA - Army),,12506,,,
Fort McClellan  IR (ESCA),,12506,,,
Fort McClellan  MMRP (ESCA),,12506,,,
Fort McClellan ARNGTC/Pelham Range MMRP (DSMOA - Army),,15885,,,
Interstate Lead Company (SACA - NPL),,6310,,,
Montgomery Air National Guard Station (DSMOA - ANG),,21402,,,
117th ARW ANG/B'Ham International Airport,,692,,,
187th TFW ANG/Montgomery Regional Airport,,695,,,
TVA ERC (RCRA),,12082,,,
TVA PSC (RCRA),,12091,,,
Marshall Space Flight Center (AHSCF - FFA - CERCLA),,5114,,,
Camp Sheridan (DSMOA - FUDS),,38512,,,
Camp Sheridan Artillery Range (DSMOA - FUDS),,35278,,,
Camp Sheridan Rifle Range (DSMOA - FUDS),,36097,,,
Redstone Arsenal IR (DSMOA - Army),,12514,,,
Redstone Arsenal MMRP (DSMOA - Army),,12514,,,
Redstone - Subpart X Issues (RCRA),,12514,,,
FUDS MAP Development and INPR reviews (DSMOA - FUDS),,32751,,,
Fort Gaines (DSMOA - FUDS),,,,,
Fort Morgan (DSMOA - FUDS),,,,,
Brecon-Coosa River Annex - BRAC 88 MMRP (DSMOA-Army),,XXXXX,,,
Gadsden Ordnance (DSMOA - FUDS),,28828,,,
THAN (SACA - NPL),,28865,,,
Gunter AFS (DSMOA - FUDS),,32751,,,
Camp Sibert IR (DSMOA - FUDS),,28829,,,
Camp Sibert MMRP (DSMOA - FUDS),,28829,,,
Maxwell AFB IR (DSMOA - Air Force),,12482,,,
Maxwell AFB MMRP (DSMOA - Air Force),,12482,,,
Redstone Arsenal IR (DSMOA - Army),,12514,,,
Redstone Arsenal MMRP (DSMOA - Army),,12514,,,
Alabama Army Ammunition Plant (DSMOA - Army),,2832,,,
Redstone Arsenal IR (DSMOA - Army),,12514,,,
Redstone Arsenal MMRP (DSMOA - Army),,12514,,,
Marshall Space Flight Center (AHSCF - FFA - CERCLA),,5114,,,
Redstone Arsenal IR (DSMOA - Army),,12514,,,
Redstone Arsenal MMRP (DSMOA - Army),,12514,,,
University of South Alabama (RCRA),,12759,,,
Fort McClellan - BRAC 95 IR (DSMOA - Army),,12506,,,
Fort McClellan - BRAC 95 MMRP (DSMOA - Army),,12506,,,
Fort McClellan ARNGTC/Pelham Range IR (DSMOA - Army),,15885,,,
Fort McClellan ARNGTC/Pelham Range MMRP (DSMOA - Army),,15885,,,
Fort McClellan IR (ESCA),,12506,,,
Fort McClellan MMRP (ESCA),,12506,,,
Gulf States Steel (AHSCF),,5467,,,
Brookley Air Force Base (DSMOA - FUDS),,29181,,,
Coliseum Blvd. Plume (AHSCF),,28831,,,
Montgomery Air Force Station (DSMOA - FUDS),,41019,,,
ALDOT Tract 92 (RCRA),,21513,,,
Fort Rucker Permitting (RCRA),,12505,,,
Fort Rucker IR (DSMOA - Army),,12505,,,
Fort Rucker MMRP (DSMOA - Army),,12505,,,
Barin Outlying Landing Field IR (DSMOA - Navy),,35277,,,
Mobile OMS 28 IR (DSMOA - Army),,22433,,,
ANAD IR (DSMOA - Army),,12504,,,
Redstone Arsenal IR (DSMOA - Army),,12514,,,
Alabama Army Ammunition Plant (DSMOA - Army),,2832,,,
ALARNG - AASF #1 (Hope Hull),,24506,,,
ALARNG - AASF #2 (Birmingham),,20640,,,
ALARNG - AASF #3 (Mobile),,1095,,,
Redstone Arsenal IR (DSMOA - Army),,12514,,,
Redstone Arsenal MMRP (DSMOA - Army),,12514,,,
Fort McClellan - BRAC 95 IR (DSMOA - Army),,12506,,,
"American Brass, Inc. (SACA - NPL)",,00854,,,
Fort McClellan (ESCA),,12506,,,
Mowbray Engineering (SACA - NPL),,37334,,,
Alabama Plating (SACA - NPL),,536,,,
Redstone Arsenal IR (DSMOA - Army),,12514,,,
ANAD IR (DSMOA - Army),,12504,,,
Redstone Arsenal IR (DSMOA - Army),,12514,,,
Redstone Arsenal MMRP (DSMOA - Army),,12514,,,
ANAD IR (DSMOA - Army),,12504,,,
Redstone Arsenal IR (DSMOA - Army),,12514,,,
Redstone Arsenal MMRP (DSMOA - Army),,12514,,,
Alabama State Port Authority (RCRA),,680,,,
Fort McClellan - BRAC 95 IR (DSMOA - Army),,12506,,,
Fort McClellan IR (ESCA),,12506,,,
Fort McClellan ARNGTC/Pelham Range (DSMOA - Army),,15885,,,
Courtland Army Air Field (DSMOA - FUDS),,xxxxx,,,
Napier Field (DSMOA - FUDS),,xxxxx,,,
Craig AFB (DSMOA - FUDS),,29694,,,
Fort Benning (DSMOA - Army),,,,,
Redstone Arsenal IR (DSMOA - Army),,12514,,,
Redstone Arsenal MMRP (DSMOA - Army),,12514,,,
